0,,Артикул,Наименование,"РРЦ Wildberries, руб","РРЦ, руб","Кол-во в упаковке, шт","Вес, кг","Объем, м3",Штрихкод
400,,PSW1100-W,"Насос дренажный PSW1100-W (1100Вт, гряз вода, напор 12м, производ 300л/мин, корпус ударпластик)",5105,4770,4,5.46,0.013,6926619727890
401,,PSW900-W,"Насос дренажный PSW900-W (900Вт, гряз вода, напор 10м, произ 250л/мин, корпус удар пластик)",4880,4560,0,5.14,0.013,6926619727883
402,,PSW400-W,"Насос дренажный PSW400-W (400Вт, гряз вода, напор 7м, производ 133л/мин, корпус удар пластик)",3815,3565,4,4.38,0.013,6926619727876
403,,PSW600-C,"Насос дренажный PSW600-C (750Вт, чист вода, напор 9,5м, производ 158л/мин, корпус нерж сталь)",6435,6010,4,5.54,0.012,6926619727913
404,,PSW550-C1,"Насос дренажный PSW550-C1 (550Вт, чист вода, напор 9м, производ 150л/мин, корпус нерж сталь)",5885,5500,4,4.8,0.012,6926619727906
405,,PSW550-C,"Насос дренажный PSW550-C (550Вт, чист вода, напор 9м, производ 150л/мин, корпус удар пластик)",4710,4400,4,4.44,0.013,6926619727920
406,,PSW400-C1,"Насос дренажный PSW400-C1 (400Вт, чист вода, напор 7м, производ 133л/мин, корпус удар пластик)",4450,4155,4,4.26,0.013,6926619727852
407,,PSW400-C,"Насос дренажный PSW400-C (400Вт, чист вода, напор 11м, производ 100л/мин, корпус удар пластик)",5400,5045,4,4.94,0.015,6926619727869
408,,PSW900-W2,"Насос дренажный PSW900-W2 (900Вт, гряз. вода, напор 9м, нерж. корпус, производ 250л/мин)",7220,6745,4,5.52,0.013,6926619727739
409,,,Насосы вибрационные,,,,,,
410,,PSW300-D1,"Насос вибрационный PSW300-D1 (300Вт, напор 80м, пр-ть 20л/мин,ниж.заб,термозащита)",2870,2680,6,3.56,0.005,6926619727722
411,,PSW300-D,"Насос вибрационный PSW300-D (300Вт, напор 60м, произ-ть 20л/мин, верх.заб, термозащита)",2745,2565,6,3.5,0.005,6926619727708
412,,,Блоки автоматики,,,,,,
413,,PHC10-C1,"Блок автоматики PHC10-C1 (1100Вт, пусковое давление 1-1.3 бар, максимальное давление 10 бар)",2390,2230,12,0.92,0.003,6926619712247
414,,PHC10-C,"Блок автоматики PHC10-C (1100Вт, пусковое давление 1-1.3 бар, максимальное давление 10 бар)",2620,2445,6,1.5,0.006,6926619712230
415,,,Стойки,,,,,,
416,,P0010006,Стойка для рубанка Р0010006 (универсальная),925,860,10,1.58,0.005,6971810442295
417,,P0010007,"Стойка для УШМ  P0010007 (диаметр круга 180-230мм, угловые тиски 45 град, литое основание)",3390,3165,4,6.12,0.013,6971810443216
418,,P0010004,"Стойка для УШМ (100-150) P0010004 (диаметр круга 100-150мм, угловые тиски 45 град, литое основание)",2650,2475,6,3.1,0.009,6971810442127
419,,P0010003,"Стойка для УШМ (115-125) P0010003 (диаметр круга 115-125мм, угловые тиски 45 град, литое основание)",2035,1900,8,2.76,0.005,6971810442110
420,,P0010002,"Стойка для дрели P0010002 (диаметр крепления 40мм, рег-ка угла и гл.сверления, фикс.глуб.сверления)",1055,985,20,1.14,0.003,6971810442103
421,,P0010001,"Стойка для дрели P0010001 (диаметр креп-я 50мм,гл.сверления 60мм,огр-е гл.сверления,литое основание)",1985,1855,8,3.24,0.011,6971810442097
422,,,Аккумуляторный инструмент,,,,,,
423,,PEC3.6P-7A,"Аккумуляторный клеевой пистолет PEC3.6P-7A (3,6В, 1,5Ач, Ø стержня 7мм, произв-ть 120г/час)",0,0,0,0,0,
424,,,Фрезеры,,,,,,
425,,PER12-C,"Фрезер электрический PER12-C МАСТЕР (2100Вт, рег-ка 6000-22000об/мин, цанга 8, 12мм, пл пуск)2шт",8450,7895,2,6.26,0.016,6971810440970
426,,PER8-C,"Фрезер электрический PER8-C МАСТЕР (1400Вт, рег-ка 16000-30000об/мин, цанга 6, 8мм)4шт",5635,5265,4,4.06,0.009,6971810440963
427,,,Шлифовальные машины,,,,,,
428,,,Машина ленточная,,,,,,
429,,PBS75-C1,"Шлифмашина ленточная PBS75-C1 МАСТЕР (900 Вт, 533*76 мм, рег-ка оборотов от 200-380  ) P.I.T. (6шт)",5910,5520,4,3.6,0.011,6971810444893
430,,,Машина полировальная,,,,,,
431,,PPO125-C1,Шлифмашина полировочная PPO125-C1 (125мм.1200Вт.3000-11000об.мин.) P.I.T,4640,4335,4,2.78,0.006,6971810444367
432,,PPO180-C1,"Шлифмашина полировочная PPO180-C1 (1.4кВт,600-3500 об/мин,180мм,подошунив.,шерст.колпак.круг наждач)",6810,6360,4,3.72,0.01,6926619712261
433,,,Машина плоскошлифовальная,,,,,,
434,,PSP400-C,"Шлифмашина вибрационная PSP400-C МАСТЕР P.I.T. (400Вт, подошва 230*115мм) 8шт",3500,3270,8,2.66,0.009,6971810440857
435,,PSP300-C,"Шлифмашина вибрационная PSP300-C МАСТЕР P.I.T. (300Вт, подошва 187*90мм) 8шт",3550,3315,8,1.92,0.006,6971810440840
436,,PSP100-C1,"Вибрационная шлифмашина PSP100-C1 (300 Вт, подошва 100х110 мм, 13500 ход/мин)",3235,3020,0,0,0,
437,,PSP100-C,"Вибрационная шлифмашина PSP100-C (240 Вт, подошва 100х110 мм, 14000 ход/мин)",2545,2375,0,0,0,
438,,PSP400-C1,"Шлифмашина вибрационная PSP400-C1 (400Вт, подошва 230*115мм, 6000-11000 ход/мин)",4535,4235,6,2.72,0.008,6926619723793
439,,,Машина эксцентриковая,,,,,,
440,,PDS125-C,"Шлифмашина эксцентриковая PDS125-C МАСТЕР P.I.T. (500Вт, 125мм подошва, 6000-12000 об/мин) 8шт",4115,3845,8,2.14,0.007,6971810440833
441,,PDS150-C,"Шлифмашина эксцентриковая PDS150-C (500Вт, 150мм подошва, 6000-12000 об/мин)",4350,4065,8,2.22,0.008,6926619700060
442,,,Шлифмашина угловая,,,,,,
443,,PWS230-D2,"Шлифмашина угловая PWS230-D2 СТАНДАРТ (230мм, 2,3кВт, плавный пуск, поворотная ручка)",6165,5760,2,5.2,0.011,6971810441786
444,,PWS115-C,"Шлифмашина угловая PWS115-C (115мм. 800вт.11000об/мин, съемная вентрешетка) P.I.T",2875,2685,6,2.1,0.004,6971810443919
445,,PWS125-C4,Шлифмашина угловая PWS125-C4 (125мм. 850вт.11000об.мин. съемная вентрешетка) P.I.T,2805,2620,6,2.12,0.004,6971810443926
446,,PWS125-C5,Шлифмашина угловая PWS125-C5 (125мм. 1000вт.11000об.мин. съемная вентрешетка) P.I.T,2900,2710,6,2.24,0.004,6971810443971
447,,PWS125-C7,"Шлифмашина угловая PWS125-C7 МАСТЕР (125мм, 1200вт, 11000об/мин, длин. рукоят.)",3960,3700,4,2.62,0.005,6971810444350
448,,PWS125-C6,"Шлифмашина угловая PWS125-C6 МАСТЕР (125мм,1050вт, 3000-11000об/мин, съем вентрешетка, рег оборот.)",3145,2935,6,2.24,0.004,6971810443988
449,,PWS150-C1,"Шлифмашина угловая PWS150-C1 (150мм, 1260Вт, 3000-9000 об/мин)",4485,4190,4,2.8,0.005,6971810444381
450,,PWS230-C4,"Шлифмашина угловая PWS230-C4 (230мм, 2,5кВт, плавный пуск, поворотная ручка)",7990,7465,2,5.54,0.011,6926619723786
451,,PWS230-C3,"Шлифмашина угловая PWS230-C3 (230мм, 2,4кВт, плавный пуск, поворотная ручка)",7255,6780,2,5.32,0.011,6926619723779
452,,PWS180-C1,"Шлифмашина угловая PWS180-C1 (180мм, 1700Вт, 8500об/мин, поворот рукоятка)",5800,5420,4,4.1,0.008,6926619712254
453,,,Машина многофункциональная,,,,,,
454,,PMT350-C1,"Многофункциональная машина PMT350-C1 (350Вт, угол колебаний 3,5,15000-22000 кол/мин, пильные пол-на)",3315,3095,6,1.64,0.003,6971810445005
455,,,Шлифмашина щеточная,,,,,,
456,,PLM.RB12010019P80,"Щетка валик Д120*100*19, ворс полимер абразив Р80, совместима с PWP120-C, PWP120-C1",2370,2212,0,0.4,0.002,
457,,PLM.RB12010019BS015,"Щетка валик Д120*100*19, ворс гофр латунир-я сталь 0,15, совместима с PWP120-C, PWP120-C1",4150,3877,0,1.31,0.002,4603809500700
458,,,Щетки для брашировальных машин,,,,,,
459,,PWP120-C1,"Щеточная шлифмашина PWP120-C1 (120х100мм,1500Вт, 600-3000об/мин, нейл.щетка, повор рук, дв. пылезащ)",8675,8105,4,5.32,0.013,6926619712278
460,,PWP120-C,"Щеточная шлифмашина PWP120-C (120х100мм, 1400Вт, 700-4200об/мин, нейлон щетка, двойн пылезащ) P.I.T",6745,6300,4,4.44,0.013,6971810444923
461,,,Штроборез,,,,,,
462,,PWC150-C,"Штроборез PWC150-C (150мм, 1700Вт, 8000об/мин, глубина штроб. 35мм, ширина штроб. 30мм) P.I.T.",9975,9320,4,5.44,0.012,6926619712735
463,,PWC125-C,"Штроборез PWC125-C (125мм, 1400Вт, 3000-9000об/мин, глубина штроб. 30мм, ширина штроб. 30мм) P.I.T",7965,7440,2,4.3,0.011,6971810444800
464,,,Шлифмашина по бетону,,,,,,
465,,PWG125-C,"Шлифмашина по бетону PWG125-C (125мм, 1400Вт, 3000-9000об/мин) P.I.T",7455,6965,4,3.46,0.009,6971810444565
466,,,Садовая техника MAXPILER,,,,,,
467,,,Газонокосилки бензиновые,,,,,,
468,,MLM-41M,"Газонокосилка бензиновая MLM-41M (4 л.с, диам. кош 410мм,высот кош 25-75мм,45л)",17975,16795,1,22.38,0.16,4673728734289
469,,MLM-41S,"Газонокосилка бензиновая MLM-41S (самоход.4 л.с, диам. кош 410мм,высот кош 25-75мм,45л)",20470,19130,1,24.94,0.163,4673728734296
470,,MLM-51S,"Газонокосилка бензиновая MLM-51S (самоход.5,5 л.с, диам. кош 510мм,высот кош 30-80мм,70л)",26300,24575,0,33.76,0.26,4673728734302
471,,MLM-51SE,"Газонокосилка бензиновая MLM-51SE (эл.старт, самоход,5,5 л.с, диам. кош 510мм,высот кош 30-80мм,70л)",38210,35710,0,36.68,0.282,4673728734319
472,,,Бензопилы цепные,,,,,,
473,,MGS-5218,"Бензопила MGS-5218 (450мм/18"", 2,2кВт/3л.с, 52 см³.,хром.цил.,легк старт,маслонаc.)",6310,5895,0,7,0.041,4659920300798
474,,MGS-4516,"Бензопила MGS-4516 (400мм/16"", 2кВт/2,7л.с, 45 см³.,хром.цил.,легк старт,маслонаc.)",6210,5800,0,6.8,0.041,4659920300781
475,,,Электротриммеры,,,,,,
476,,MET-350,"Электротриммер MET-350 (350Вт, диаметр скоса 220 мм, 11000 об/мин)",2130,1990,0,1.7,0.006,4673728733770
477,,MET-600,"Электротриммер MET-600 (600Вт, диаметр скоса 300 мм, D-об. рукоятка, телескоп. штанга, 10000 об/мин)",4295,4010,0,3.48,0.023,4673728733787
478,,MET-450,"Электротриммер MET-450 (450Вт, диаметр скоса 250 мм, рег. рукоятка, телескоп. штанга, 10000 об/мин)",2970,2775,0,2.48,0.02,4673728733428
479,,MET-2000B,"Электротриммер MET-2000B (2000Вт, диаметр скоса 380 мм, D-образ. рукоятка, разъем штанга, нож+леска)",6145,5740,0,5.8,0.025,4673728733800
480,,MET-2000A,"Электротриммер MET-2000A (2000Вт, скос 380 мм, плав пуск,велосип рукоятка, разъем штанга, нож+леска)",6870,6420,0,5.84,0.024,4673728730427
481,,MET-2000,"Электротриммер MET-2000 (2000Вт, диаметр скоса 380 мм, D-образ. рукоятка, разъем штанга, нож+леска)",6945,6490,0,5.84,0.024,4659920300804
482,,,Бензотриммеры,,,,,,
483,,MGT-56B,"Бензотриммер MGT-56B (3,2л.с,56см³, 2-такт, расшир компл диск40+4-зуб, щиток, ранц.рем, нераз штанг)",9210,8605,0,8.2,0.027,4673728733398
484,,MGT-52B,"Бензотриммер MGT-52B (2,3л.с,52см³, 2-такт, расшир компл диск40+3-зуб, очки, ранц.рем, нераз штанга)",8670,8100,0,7.68,0.026,4673728733404
485,,MGT-56A,"Бензотриммер MGT-56A (3,2л.с,56см³, 2-такт, расшир компл диск40+4-зуб, щиток, ранц.рем, нераз штанг)",9145,8545,0,8.2,0.027,4655299891356
486,,MGT-52A,"Бензотриммер MGT-52A (2,3л.с,52см³, 2-такт, расшир компл диск40+3-зуб, очки, ранц.рем, нераз штанга)",8575,8010,0,7.68,0.026,4655299891349
487,,MGT-56,"Бензотриммер MGT-56 (3,2л.с,56 см³, 2-такт, диск 40-зуб, ранцевый ремень, неразъемная штанга)",6870,6420,0,8.2,0.027,4659920300835
488,,MGT-52,"Бензотриммер MGT-52 (2,3л.с,52 см³, 2-такт, диск 3-зуб, наплеч. ремень,неразъемн. штанга)",6250,5840,0,7.68,0.026,4659920300828
489,,MGT-38-4T,"Бензотриммер MGT-38-4T (1,7л.с,38 см³, 4-такт, диск 40-зуб, ранцевый ремень)",10695,9995,0,10.6,0.024,4659920300811
490,,MCT20-250,"Триммер аккумуляторный MCT20-250 (20В, Ø скоса 250 мм, телескоп. леска 1,2мм, 1 АКБ 2Ач, ЗУ)",5985,5590,0,3.08,0.017,4673728733411
491,,,Генераторы MAXPILER,,,,,,
492,,MGH-01,"Комплект колес и рукоятки для генераторов MGH-01 (подходMPG-3000A, MPG-3000C, MPG-5500C, MPG-6500СE)",2370,2211,0,0,0,
493,,MPG-6500CE,"Генератор бензиновый MPG-6500CE (6,5/6кВт,13л.с., медь,розет2*220В и12В, цифр дисп,AVR,электростарт)",58590,54755,0,0,0,
494,,MPG-5500C,"Генератор бензиновый MPG-5500C (5,5/5кВт,13л.с., медь,розет2*220В и12В, цифр дисп, AVR,защ перегруз)",43410,40570,0,0,0,
495,,MPG-3000C,"Генератор бензиновый MPG-3000C (3/2,8кВт,7л.с., медь,розет2*220В и12В, цифр дисп, AVR,защ перегруз)",24265,22675,0,0,0,
496,,MPG-3000A,"Генератор бензиновый MPG-3000A (3/2,8кВт,7л.с., алюм,розет2*220В и12В, цифр дисп, AVR,защ перегруз)",20775,19415,0,0,0,
497,,,Уровни лазерные MAXPILER,,,,,,
498,,MT-0115,"Штатив для лазерного уровня MT-0115 (высота 0,45-1,5м, элевационный, резьба 5/8"", мет.ножки)",0,0,0,0,0,
499,,MLL-0330G,"Уровень лазерный MLL-0330G (раб. диап.30м, зел.лазер, 2 луча, фикс.,зарядка type-c)",0,0,0,0,0,
500,,MT-0112,"Штатив для лазерного уровня MT-0112 (высота 0,45-1,2м, элевационный, резьба 5/8"", мет.ножки)",620,575,0,0.7,0,4673728732469
501,,MLL-0225G,"Уровень лазерный MLL-0225G (раб. диап.25м, зел.лазер,360°,16 лучей, фикс., резьба под штат, li-ion)",6870,6420,0,1.73,0.008,4673728732100
502,,MLL-0125G,"Уровень лазерный MLL-0125G (раб. диап.25м, зел.лазер, 2 луча, фикс., резьба под штатив,3х1.5В (ААА))",2345,2190,0,0.34,0.001,4673728732087
503,,MLL-0115R,"Уровень лазерный MLL-0115R (раб. диап.15м, кр.лазер,2 луча, фикс., резьба под штатив,3х1.5В (ААА))",2085,1945,0,0.34,0.001,4673728732094
504,,,Станки для заточки цепей,,,,,,
505,,MCG-1108,"Станок для заточки цепи MCG-1108 (85Вт, 5500об/мин, 108х22х3,2мм)",3165,2955,8,2.24,0.009,4673728730458
506,,,Аппараты для сварки полипропиленовых труб MAXPILER,,,,,,
507,,MPS-1642,"Ножницы для резки труб MPS-1642 (Ø трубы 16-42 мм, стальные лезвия, фиксатор ручек)",265,245,60,0.22,0.001,4673728730243
508,,MPW-0632,"Аппарат для сварки труб ПВХ MPW-0632 (600 Вт, 0-300°С, насадки 20,25,32 мм, мет.кейс)",1140,1065,10,1.32,0.005,4673728730229
509,,MPW-0832A,"Аппарат для сварки труб ПВХ MPW-0832A (800 Вт, 0-300°С, насадки 20,25,32 мм, мет.кейс,ЖК-дисплей)",1790,1670,10,1.64,0.006,4673728730205
510,,MPW-2063,"Аппарат для сварки труб ПВХ MPW-2063 (2000 Вт, 0-300°С, насадки 20,25,32,40,50,63мм,мет.кейс,стойка)",3745,3500,5,4.14,0.013,4651150300074
511,,MPW-0832,"Аппарат для сварки труб ПВХ MPW-0832 (1200 Вт, 300°С, насадки 20,25,32 мм, мет.кейс,стойка)",1710,1595,10,1.76,0.007,4651150300067
512,,,Насосное оборудование MAXPILER,,,,,,
513,,MJP-370,"Станция насосная MJP-370 (370Вт, напор 30м, бак 2л, произв-ть 33л/мин,реле давления)",0,0,0,0,0,
514,,,Снегоуборочная техника MAXPILER,,,,,,
515,,MSTE-1200,"Снегоуборщик электрический MAXPILER MSTE-1200 (1200 Вт, высота 15см, ширина 28см)",0,0,0,0,0,
516,,MCST20-250,"Снегоуборщик аккумуляторный MAXPILER MCST20-250 (20В, высота 16см, ширина 25 см, АКБ 4Ач)",0,0,0,0,0,
517,,MST-3000,"Снегоуборщик MAXPILER MST-3000 (7л.с,196см3, бак3.6л,ш53см, в30см) ",38005,35515,0,46,0.223,4673728732018
518,,MSTE-2000,"Снегоуборщик электрический MAXPILER MSTE-2000 (2000 Вт, ш46см, в20см, фара) ",18175,16985,0,0,0,4673728732025
519,,MST-5250B,"Снегоуборщик MAXPILER MST-5250B (гусеницы,13л.с LONCIN,скор 6в/2н,ш61см, запуск от сети 220В,фара)",132670,123990,0,96,0.471,4673728732001
520,,MST-4850C,"Снегоуборщик MAXPILER MST-4850C (7л.с,скор-ти 6в/2н,ш61см,в51см,запуск от сети 220,фара)",69930,65355,0,78,0.373,4673728731998
521,,MST-4850B,"Снегоуборщик MAXPILER MST-4850B (7л.с,ск-ти 6в/2н,ш61см,в51см,руч и эл. стартер АКБ12в,фара)",71055,66405,0,79,0.373,4673728731981
522,,MST-4850,"Снегоуборщик MAXPILER MST-4850 (7л.с,196см3, бак3.6л, скор-ти 6в/2н,ш61см, в51см)",62060,58000,0,75,0.373,4673728731974
523,,MST-4050B,"Снегоуборщик MAXPILER MST-4050B (7л.с,ск 4в/1н,ш61см,в51см,руч и эл. стар АКБ12в,безвоз колесо,фара)",57115,53375,0,73,0.313,4673728731967
524,,MST-4050,"Снегоуборщик MAXPILER MST-4050 (7л.с,196см3, бак3.6л, скор-ти 4в/1н,ш53см, в51см) ",46995,43920,0,67,0.28,4673728731950
525,,,Электрические нагреватели MAXPILER,,,,,,
526,,MEH-3001,"Электрический нагреватель MAXPILER MEH-3001 (1,5/3кВт, произв 220м³/ч, обогр,30м², керам нагр,защит)",3315,3095,0,2.18,0.011,4673728731905
527,,MEH-2001,"Электрический нагреватель MAXPILER MEH-2001 (1/2кВт, произв 180м³/ч, площ обогр, 20м², керам нагр)",2015,1880,8,1.6,0.007,4673728731899
528,,MEH-3000,"Электрический нагреватель MAXPILER MEH-3000 (2/3кВт, произв. 210м³/ч, обогр 30м², керам нагр,защита)",3730,3485,0,1.94,0.016,4673728731882
529,,MEH-2000,"Электрический нагреватель MAXPILER MEH-2000 (1/2кВт, произв 139м³/ч, площ обогр, 20м², керам нагр)",2245,2095,0,1.8,0.014,4673728731875
530,,MEH-3002,"Электрический нагреватель MAXPILER MEH-3002 (1,5/3кВт, произв 280м³/ч,обогр, 30м², керам нагр,защит)",3785,3535,0,3.14,0.019,4673728731943
531,,MEH-2002,"Электрический нагреватель MAXPILER MEH-2002 (1/2кВт, произв 197м³/ч, площ обогр, 20м², керам нагр)",2215,2070,8,1.72,0.008,4673728731929
